repo_full_name,sha,committed_at
ollama/ollama,755ac3b069f3ba759ee9ba05e2598cfc34712217,2025-11-08T04:07:26Z
ollama/ollama,60b897355988b3819de3ec5ba5f2f79bde26b2b3,2025-11-07T19:21:44Z
ollama/ollama,d2ef679d42feac9901c347bc24ff0b6ab67a938b,2025-11-07T18:06:46Z
ollama/ollama,d4e0da08907f7611e1a2d9bda319bb30cd4ff029,2025-11-06T23:52:56Z
ollama/ollama,565b802a6b7f4a5dee8c1fa88407f98d04f2afe3,2025-11-06T23:26:25Z
ollama/ollama,6c79e6c09a53b03012df45c74a7e90b1f362cb23,2025-11-06T23:21:13Z
ollama/ollama,780762f9d2ad86f5268eaf5d0af14bfa4f44470f,2025-11-06T22:44:44Z
ollama/ollama,30fcc71983499bb29f6157291f7c85782fd35305,2025-11-06T22:08:55Z
ollama/ollama,3501a4bdf95c57ed102bce30836caae3466166ff,2025-11-06T21:49:22Z
ollama/ollama,73a0cafc1e37e864a9735aa8098e5aa96e5b6500,2025-11-06T21:31:46Z
ollama/ollama,e309c80474a926a99b78e66fc7f5a3f5eca542d9,2025-11-06T18:49:59Z
ollama/ollama,544b6739dde2a6b156b1673c72d94949c1940be7,2025-11-06T18:19:22Z
ollama/ollama,a4a53692f89decbfdbfbb44756507413e310c7c3,2025-11-06T09:09:51Z
ollama/ollama,c4ba257c644daee9d3c906339826216afbe605bf,2025-11-06T07:36:59Z
ollama/ollama,342e58ce4fadc10f304d5479501f34cbb9b1d5e3,2025-11-06T07:04:30Z
ollama/ollama,47b2585cfd9e6e5712031e23ead3b9d5768bfdc9,2025-11-06T06:48:43Z
ollama/ollama,4111db013f643ac5d31b06c459ae509adb4e1380,2025-11-06T05:37:17Z
ollama/ollama,536c987c39c51411d067c2f640165ac5bc0e929b,2025-11-06T01:19:34Z
ollama/ollama,a534d4e9e176e32734f59c5ae8c2fb6d93a11058,2025-11-05T18:12:31Z
ollama/ollama,74586aa9dfa804fdc7a15e14c045bc9df047e0cd,2025-11-05T17:55:14Z
ollama/ollama,8c74f5ddfd08afbe256d9156ec4a623e4f717209,2025-11-04T20:21:59Z
ollama/ollama,80d34260ea16e76c9ef0d014a86cc130421855f1,2025-11-05T20:33:01Z
